employee_id,age,education,career,job,skills_explode,skfn_explode
a00000009,32,대졸(예정),6,서버/백엔드 개발자,HW,38
a00000009,32,대졸(예정),6,서버/백엔드 개발자,Next.js,35
a00000010,29,대졸(예정),4,DevOps/시스템 엔지니어,GCP IAM,36
a00000010,29,대졸(예정),4,DevOps/시스템 엔지니어,Backendless,30
a00000010,29,대졸(예정),4,DevOps/시스템 엔지니어,CentOS,35
a00000010,29,대졸(예정),4,DevOps/시스템 엔지니어,React Query,29
a00000010,29,대졸(예정),4,DevOps/시스템 엔지니어,PowerShell,36
a00000011,50,대졸(예정),20,DevOps/시스템 엔지니어,MariaDB,49
a00000011,50,대졸(예정),20,DevOps/시스템 엔지니어,Citrix Gateway,53
a00000011,50,대졸(예정),20,DevOps/시스템 엔지니어,RPA,46
a00000011,50,대졸(예정),20,DevOps/시스템 엔지니어,TypeScript,42
a00000011,50,대졸(예정),20,DevOps/시스템 엔지니어,MySQL,42
a00000012,35,대졸(예정),6,인공지능/머신러닝,Elasticsearch,29
a00000012,35,대졸(예정),6,인공지능/머신러닝,Tableau,32
a00000012,35,대졸(예정),6,인공지능/머신러닝,ARM,38
a00000013,30,대졸(예정),2,프론트엔드 개발자,AI/인공지능,12
a00000013,30,대졸(예정),2,프론트엔드 개발자,GUI,22
a00000013,30,대졸(예정),2,프론트엔드 개발자,Azure DevOps,22
a00000013,30,대졸(예정),2,프론트엔드 개발자,Redux,17
a00000013,30,대졸(예정),2,프론트엔드 개발자,Datadog,18
a00000014,38,대졸(예정),7,DevOps/시스템 엔지니어,Apache HTTP Server,55
a00000014,38,대졸(예정),7,DevOps/시스템 엔지니어,Docker,42
a00000014,38,대졸(예정),7,DevOps/시스템 엔지니어,GUI,49
a00000014,38,대졸(예정),7,DevOps/시스템 엔지니어,Ubuntu,55
a00000015,20,대졸(예정),0,QA 엔지니어,C++,1
a00000015,20,대졸(예정),0,QA 엔지니어,Grafana,3
a00000015,20,대졸(예정),0,QA 엔지니어,Python,1
a00000015,20,대졸(예정),0,QA 엔지니어,Testrail,9
a00000015,20,대졸(예정),0,QA 엔지니어,Playwright,10
a00000016,31,대졸(예정),7,블록체인,TensorFlow,54
a00000016,31,대졸(예정),7,블록체인,PyTorch,54
a00000016,31,대졸(예정),7,블록체인,AAC,43
a00000034,29,대졸(예정),0,DBA,Python,6
a00000017,33,석박사(예정),3,서버/백엔드 개발자,MySQL,11
a00000017,33,석박사(예정),3,서버/백엔드 개발자,MVVM,24
a00000017,33,석박사(예정),3,서버/백엔드 개발자,Network,11
a00000017,33,석박사(예정),3,서버/백엔드 개발자,React.js Boilerplate,22
a00000018,20,고졸(예정),1,프론트엔드 개발자,RDB,12
a00000018,20,고졸(예정),1,프론트엔드 개발자,React,13
a00000018,20,고졸(예정),1,프론트엔드 개발자,DB,18
a00000018,20,고졸(예정),1,프론트엔드 개발자,JSON,20
a00000018,20,고졸(예정),1,프론트엔드 개발자,Spring Boot,24
a00000019,30,초대졸(예정),5,안드로이드 개발자,C++,27
a00000019,30,초대졸(예정),5,안드로이드 개발자,Objective-C,33
a00000019,30,초대졸(예정),5,안드로이드 개발자,Retrofit,31
a00000019,30,초대졸(예정),5,안드로이드 개발자,Git,26
a00000020,45,대졸(예정),4,인공지능/머신러닝,R Language,27
a00000020,45,대졸(예정),4,인공지능/머신러닝,Python,33
a00000020,45,대졸(예정),4,인공지능/머신러닝,Spark,28
a00000021,30,대졸(예정),5,iOS 개발자,Webpack,26
a00000021,30,대졸(예정),5,iOS 개발자,Lottie,39
a00000021,30,대졸(예정),5,iOS 개발자,C++,31
a00000021,30,대졸(예정),5,iOS 개발자,Notion,38
a00000021,30,대졸(예정),5,iOS 개발자,JavaScript,39
a00000022,50,대졸(예정),20,서버/백엔드 개발자,Embedded,53
a00000022,50,대졸(예정),20,서버/백엔드 개발자,Vue.js,52
a00000022,50,대졸(예정),20,서버/백엔드 개발자,Azure Security Center,44
a00000022,50,대졸(예정),20,서버/백엔드 개발자,Prisma,44
a00000022,50,대졸(예정),20,서버/백엔드 개발자,Hack,46
a00000023,45,대졸(예정),14,웹퍼블리셔,Git,48
a00000023,45,대졸(예정),14,웹퍼블리셔,React,52
a00000023,45,대졸(예정),14,웹퍼블리셔,jQuery,55
a00000023,45,대졸(예정),14,웹퍼블리셔,Vercel,47
a00000023,45,대졸(예정),14,웹퍼블리셔,IntelliJ IDEA,44
a00000024,23,대졸(예정),0,DevOps/시스템 엔지니어,Jenkins,8
a00000024,23,대졸(예정),0,DevOps/시스템 엔지니어,CISSP,6
a00000024,23,대졸(예정),0,DevOps/시스템 엔지니어,Ruby,3
a00000025,23,대졸(예정),0,웹퍼블리셔,TypeScript,2
a00000025,23,대졸(예정),0,웹퍼블리셔,Vue.js,7
a00000025,23,대졸(예정),0,웹퍼블리셔,jQuery,2
a00000026,34,석박사(예정),2,안드로이드 개발자,Flow,20
a00000026,34,석박사(예정),2,안드로이드 개발자,C++,13
a00000026,34,석박사(예정),2,안드로이드 개발자,WebSocket,14
a00000027,41,고졸(예정),19,서버/백엔드 개발자,Selenium,49
a00000027,41,고졸(예정),19,서버/백엔드 개발자,PyTorch,47
a00000027,41,고졸(예정),19,서버/백엔드 개발자,Amazon ECR,48
a00000027,41,고졸(예정),19,서버/백엔드 개발자,Node.js,49
a00000028,28,고졸(예정),0,서버/백엔드 개발자,Nginx Proxy Manager,1
a00000028,28,고졸(예정),0,서버/백엔드 개발자,ES6,9
a00000028,28,고졸(예정),0,서버/백엔드 개발자,Vite,9
a00000028,28,고졸(예정),0,서버/백엔드 개발자,Hibernate,8
a00000028,28,고졸(예정),0,서버/백엔드 개발자,Spring Boot,7
a00000029,32,대졸(예정),8,SW/솔루션,HW,44
a00000029,32,대졸(예정),8,SW/솔루션,Ccnp,44
a00000029,32,대졸(예정),8,SW/솔루션,Spring Framework,48
a00000030,45,대졸(예정),3,SW/솔루션,WebRTC,16
a00000030,45,대졸(예정),3,SW/솔루션,Flux,16
a00000030,45,대졸(예정),3,SW/솔루션,AWS Amplify,22
a00000030,45,대졸(예정),3,SW/솔루션,Next.js,21
a00000031,30,대졸(예정),0,프론트엔드 개발자,React Query,1
a00000031,30,대졸(예정),0,프론트엔드 개발자,Vite,10
a00000031,30,대졸(예정),0,프론트엔드 개발자,GitLab,3
a00000031,30,대졸(예정),0,프론트엔드 개발자,Ant Design,3
a00000031,30,대졸(예정),0,프론트엔드 개발자,Amazon EKS,0
a00000032,28,대졸(예정),0,안드로이드 개발자,Socket.IO,8
a00000032,28,대졸(예정),0,안드로이드 개발자,Dagger Hilt,7
a00000032,28,대졸(예정),0,안드로이드 개발자,Android Studio,10
a00000033,25,대졸(예정),1,DevOps/시스템 엔지니어,Hadoop,12
a00000033,25,대졸(예정),1,DevOps/시스템 엔지니어,Amazon RDS,21
a00000033,25,대졸(예정),1,DevOps/시스템 엔지니어,Spark,18
a00000034,29,대졸(예정),0,DBA,NGINX,6
a00000034,29,대졸(예정),0,DBA,GitHub,3
a00000034,29,대졸(예정),0,DBA,Jira,5
a00000034,29,대졸(예정),0,DBA,CodeIgniter,4
a00000035,46,고졸(예정),20,프론트엔드 개발자,Redis,50
a00000035,46,고졸(예정),20,프론트엔드 개발자,FastAPI,44
a00000035,46,고졸(예정),20,프론트엔드 개발자,Capacitor,43
a00000036,30,석박사(예정),2,웹퍼블리셔,Vue.js,12
a00000036,30,석박사(예정),2,웹퍼블리셔,GUI,12
a00000036,30,석박사(예정),2,웹퍼블리셔,Vercel,21
a00000036,30,석박사(예정),2,웹퍼블리셔,ApexCharts,19
a00000037,27,대졸(예정),0,인공지능/머신러닝,Semantic UI React,5
a00000037,27,대졸(예정),0,인공지능/머신러닝,Kubernetes,8
a00000037,27,대졸(예정),0,인공지능/머신러닝,Ansible,3
a00000038,29,고졸미만,0,프론트엔드 개발자,Angular 2,6
a00000038,29,고졸미만,0,프론트엔드 개발자,styled-components,8
a00000038,29,고졸미만,0,프론트엔드 개발자,Bootstrap,1
a00000038,29,고졸미만,0,프론트엔드 개발자,Rust,0
a00000038,29,고졸미만,0,프론트엔드 개발자,TailwindCSS,9
a00000039,51,대졸(예정),13,서버/백엔드 개발자,Snort,53
a00000039,51,대졸(예정),13,서버/백엔드 개발자,Confluence,46
a00000039,51,대졸(예정),13,서버/백엔드 개발자,Microsoft Office 365,46
a00000039,51,대졸(예정),13,서버/백엔드 개발자,Envoy,42
a00000040,44,대졸(예정),12,인공지능/머신러닝,React Query,48
a00000040,44,대졸(예정),12,인공지능/머신러닝,Jotai,51
a00000040,44,대졸(예정),12,인공지능/머신러닝,Git,42
a00000040,44,대졸(예정),12,인공지능/머신러닝,Redis,41
a00000041,41,대졸(예정),15,DevOps/시스템 엔지니어,TensorFlow,55
a00000041,41,대졸(예정),15,DevOps/시스템 엔지니어,Embedded Linux,41
a00000041,41,대졸(예정),15,DevOps/시스템 엔지니어,Apache Tomcat,50
a00000042,23,대졸(예정),0,HW/임베디드,MachineLearning,10
a00000042,23,대졸(예정),0,HW/임베디드,Scope,5
a00000042,23,대졸(예정),0,HW/임베디드,TensorFlow,9
a00000042,23,대졸(예정),0,HW/임베디드,Genesys,0
a00000043,30,대졸(예정),4,프론트엔드 개발자,Adobe XD,29
a00000043,30,대졸(예정),4,프론트엔드 개발자,Plotly.js,29
a00000043,30,대졸(예정),4,프론트엔드 개발자,Backendless,37
a00000043,30,대졸(예정),4,프론트엔드 개발자,OpenCV,26
a00000043,30,대졸(예정),4,프론트엔드 개발자,React Canvas,39
a00000044,26,대졸(예정),2,인공지능/머신러닝,Google Analytics,12
a00000044,26,대졸(예정),2,인공지능/머신러닝,Matplotlib,16
a00000044,26,대졸(예정),2,인공지능/머신러닝,GNU Bash,15
a00000044,26,대졸(예정),2,인공지능/머신러닝,Apache Flink,13
a00000045,33,석박사(예정),6,DevOps/시스템 엔지니어,MySQL,30
a00000045,33,석박사(예정),6,DevOps/시스템 엔지니어,Python,39
a00000045,33,석박사(예정),6,DevOps/시스템 엔지니어,AWS Certificate Manager,33
a00000046,32,대졸(예정),8,웹퍼블리셔,Vercel,53
a00000046,32,대졸(예정),8,웹퍼블리셔,CSS 3,52
a00000046,32,대졸(예정),8,웹퍼블리셔,Zeplin,47
a00000046,32,대졸(예정),8,웹퍼블리셔,jQuery,42
a00000047,25,고졸(예정),0,빅데이터 엔지니어,SummitDB,1
a00000047,25,고졸(예정),0,빅데이터 엔지니어,Confluence,4
a00000047,25,고졸(예정),0,빅데이터 엔지니어,MySQL,7
a00000048,24,대졸(예정),0,서버/백엔드 개발자,.NET,0
a00000048,24,대졸(예정),0,서버/백엔드 개발자,Fluentd,2
a00000048,24,대졸(예정),0,서버/백엔드 개발자,React.js Boilerplate,5
a00000048,24,대졸(예정),0,서버/백엔드 개발자,ERP,1
a00000048,24,대졸(예정),0,서버/백엔드 개발자,NGINX,5
a00000049,51,석박사(예정),20,서버/백엔드 개발자,notion.so,55
a00000049,51,석박사(예정),20,서버/백엔드 개발자,Flask,46
a00000049,51,석박사(예정),20,서버/백엔드 개발자,InfluxDB,52
a00000049,51,석박사(예정),20,서버/백엔드 개발자,vscode.dev,53
a00000050,31,대졸(예정),0,DBA,Entity Framework,8
a00000050,31,대졸(예정),0,DBA,MariaDB,8
a00000050,31,대졸(예정),0,DBA,MSA,9
a00000050,31,대졸(예정),0,DBA,Linux,5
a00000051,22,대졸(예정),0,DevOps/시스템 엔지니어,Shell,3
a00000051,22,대졸(예정),0,DevOps/시스템 엔지니어,Git,4
a00000051,22,대졸(예정),0,DevOps/시스템 엔지니어,Protobuf,1
a00000052,22,대졸(예정),0,iOS 개발자,Lottie,0
a00000052,22,대졸(예정),0,iOS 개발자,Recoil,7
a00000052,22,대졸(예정),0,iOS 개발자,Android Studio,4
a00000052,22,대졸(예정),0,iOS 개발자,Objective-C,10
a00000052,22,대졸(예정),0,iOS 개발자,Android SDK,9
a00000053,33,대졸(예정),9,블록체인,Kubernetes,53
a00000053,33,대졸(예정),9,블록체인,ASIC,43
a00000053,33,대졸(예정),9,블록체인,SQL,48
a00000054,28,석박사(예정),0,DevOps/시스템 엔지니어,Datadog,10
a00000054,28,석박사(예정),0,DevOps/시스템 엔지니어,Amazon EC2,5
a00000054,28,석박사(예정),0,DevOps/시스템 엔지니어,Spring Framework,0
a00000054,28,석박사(예정),0,DevOps/시스템 엔지니어,Network,0
a00000055,27,대졸(예정),0,서버/백엔드 개발자,Nexacro,4
a00000055,27,대졸(예정),0,서버/백엔드 개발자,Eclipse,1
a00000055,27,대졸(예정),0,서버/백엔드 개발자,Tibero,0
a00000056,31,대졸(예정),3,서버/백엔드 개발자,VPN,22
a00000056,31,대졸(예정),3,서버/백엔드 개발자,ELK,25
a00000056,31,대졸(예정),3,서버/백엔드 개발자,NestJS,12
a00000056,31,대졸(예정),3,서버/백엔드 개발자,OLAP,19
a00000056,31,대졸(예정),3,서버/백엔드 개발자,Rust,24
a00000057,44,대졸(예정),11,인공지능/머신러닝,Utm,52
a00000057,44,대졸(예정),11,인공지능/머신러닝,Solidworks,46
a00000057,44,대졸(예정),11,인공지능/머신러닝,Jotai,43
a00000057,44,대졸(예정),11,인공지능/머신러닝,MongoDB,52
a00000057,44,대졸(예정),11,인공지능/머신러닝,K8S,49
a00000058,39,대졸(예정),13,안드로이드 개발자,iOS,51
a00000058,39,대졸(예정),13,안드로이드 개발자,Dart,42
a00000058,39,대졸(예정),13,안드로이드 개발자,Jetpack,55
a00000058,39,대졸(예정),13,안드로이드 개발자,WebSocket,45
a00000058,39,대졸(예정),13,안드로이드 개발자,Swift,55
a00000059,21,대졸(예정),0,정보보안 담당자,Windows,4
a00000059,21,대졸(예정),0,정보보안 담당자,Confluence,10
a00000059,21,대졸(예정),0,정보보안 담당자,ELK,10
a00000059,21,대졸(예정),0,정보보안 담당자,Cloud Foundry,3
a00000059,21,대졸(예정),0,정보보안 담당자,Redis,9
a00000060,51,대졸(예정),3,서버/백엔드 개발자,RDB,25
a00000060,51,대졸(예정),3,서버/백엔드 개발자,Shell,13
a00000060,51,대졸(예정),3,서버/백엔드 개발자,React.js Boilerplate,21
a00000061,26,대졸(예정),0,프론트엔드 개발자,pnpm,1
a00000061,26,대졸(예정),0,프론트엔드 개발자,Mfc,9
a00000061,26,대졸(예정),0,프론트엔드 개발자,GCP,10
a00000061,26,대졸(예정),0,프론트엔드 개발자,Mocha,3
a00000062,25,대졸(예정),1,웹 풀스택 개발자,Backendless,17
a00000062,25,대졸(예정),1,웹 풀스택 개발자,GitLab,12
a00000062,25,대졸(예정),1,웹 풀스택 개발자,OpenCV,22
a00000062,25,대졸(예정),1,웹 풀스택 개발자,Terraform,23
a00000062,25,대졸(예정),1,웹 풀스택 개발자,jQuery,23
a00000063,43,대졸(예정),13,인공지능/머신러닝,SW,42
a00000063,43,대졸(예정),13,인공지능/머신러닝,AR,49
a00000063,43,대졸(예정),13,인공지능/머신러닝,Swift,50
a00000064,28,대졸(예정),0,서버/백엔드 개발자,Red Hat OpenShift,0
a00000064,28,대졸(예정),0,서버/백엔드 개발자,gRPC,7
a00000064,28,대졸(예정),0,서버/백엔드 개발자,Xcode,10
a00000064,28,대졸(예정),0,서버/백엔드 개발자,Node.js,1
a00000064,28,대졸(예정),0,서버/백엔드 개발자,JavaScript,7
a00000065,27,초대졸(예정),0,프론트엔드 개발자,Selenium,3
a00000065,27,초대졸(예정),0,프론트엔드 개발자,ExpressJS,9
a00000065,27,초대졸(예정),0,프론트엔드 개발자,React.js Boilerplate,4
a00000065,27,초대졸(예정),0,프론트엔드 개발자,MSSQL,1
a00000066,41,초대졸(예정),9,프론트엔드 개발자,HTML5,48
a00000066,41,초대졸(예정),9,프론트엔드 개발자,IntelliJ IDEA,47
a00000066,41,초대졸(예정),9,프론트엔드 개발자,Vite,46
a00000067,32,대졸(예정),2,서버/백엔드 개발자,VPN,19
a00000067,32,대졸(예정),2,서버/백엔드 개발자,ABAP,13
a00000067,32,대졸(예정),2,서버/백엔드 개발자,Akka HTTP,19
a00000067,32,대졸(예정),2,서버/백엔드 개발자,Bootstrap,19
a00000067,32,대졸(예정),2,서버/백엔드 개발자,Fluentd,22
a00000068,48,대졸(예정),15,정보보안 담당자,Azure Security Center,69
a00000068,48,대졸(예정),15,정보보안 담당자,CISA,56
a00000068,48,대졸(예정),15,정보보안 담당자,MSA,60
a00000068,48,대졸(예정),15,정보보안 담당자,Redis,56
a00000068,48,대졸(예정),15,정보보안 담당자,Python,56
a00000069,35,초대졸(예정),6,인공지능/머신러닝,GNU Bash,38
a00000069,35,초대졸(예정),6,인공지능/머신러닝,AWS,37
a00000069,35,초대졸(예정),6,인공지능/머신러닝,Linear,31
a00000070,37,대졸(예정),11,안드로이드 개발자,Coroutine,54
a00000070,37,대졸(예정),11,안드로이드 개발자,iOS,54
a00000070,37,대졸(예정),11,안드로이드 개발자,React,54
a00000070,37,대졸(예정),11,안드로이드 개발자,Jira,50
a00000071,27,석박사(예정),3,SW/솔루션,Mfc,15
a00000071,27,석박사(예정),3,SW/솔루션,SAP,22
a00000071,27,석박사(예정),3,SW/솔루션,Druid,15
a00000072,46,대졸(예정),6,DevOps/시스템 엔지니어,Istio,36
a00000072,46,대졸(예정),6,DevOps/시스템 엔지니어,Infra,34
a00000072,46,대졸(예정),6,DevOps/시스템 엔지니어,Spring Security,32
a00000073,22,대졸(예정),0,웹퍼블리셔,jQuery,10
a00000073,22,대졸(예정),0,웹퍼블리셔,JSP,8
a00000073,22,대졸(예정),0,웹퍼블리셔,TailwindCSS,0
a00000074,46,대졸(예정),10,SW/솔루션,Azure DevOps,50
a00000074,46,대졸(예정),10,SW/솔루션,Perl,51
a00000074,46,대졸(예정),10,SW/솔루션,Autocad,47
a00000074,46,대졸(예정),10,SW/솔루션,Linux,42
a00000074,46,대졸(예정),10,SW/솔루션,Jenkins,48
a00000075,30,대졸(예정),2,서버/백엔드 개발자,JUnit,22
a00000075,30,대졸(예정),2,서버/백엔드 개발자,SQL,11
a00000075,30,대졸(예정),2,서버/백엔드 개발자,Elasticsearch,17
a00000075,30,대졸(예정),2,서버/백엔드 개발자,RDB,22
a00000076,31,대졸(예정),8,인공지능/머신러닝,Google Docs,54
a00000076,31,대졸(예정),8,인공지능/머신러닝,Swift,53
a00000076,31,대졸(예정),8,인공지능/머신러닝,Spark,49
a00000076,31,대졸(예정),8,인공지능/머신러닝,TensorFlow,52
a00000076,31,대졸(예정),8,인공지능/머신러닝,DVC,43
a00000077,36,대졸(예정),4,서버/백엔드 개발자,SwiftUI,33
a00000077,36,대졸(예정),4,서버/백엔드 개발자,Node.js,28
a00000077,36,대졸(예정),4,서버/백엔드 개발자,Vault,36
a00000077,36,대졸(예정),4,서버/백엔드 개발자,Git Flow,26
a00000077,36,대졸(예정),4,서버/백엔드 개발자,DB,36
a00000078,23,대졸(예정),0,DevOps/시스템 엔지니어,Slim,2
a00000078,23,대졸(예정),0,DevOps/시스템 엔지니어,Eclipse,0
a00000078,23,대졸(예정),0,DevOps/시스템 엔지니어,Insight,1
a00000079,26,대졸(예정),1,프론트엔드 개발자,AWS CodeCommit,25
a00000079,26,대졸(예정),1,프론트엔드 개발자,Tableau,20
a00000079,26,대졸(예정),1,프론트엔드 개발자,jQuery,13
a00000079,26,대졸(예정),1,프론트엔드 개발자,React,25
a00000080,49,고졸(예정),18,정보보안 담당자,ERP,41
a00000080,49,고졸(예정),18,정보보안 담당자,Network,52
a00000080,49,고졸(예정),18,정보보안 담당자,CloudFlare,53
a00000080,49,고졸(예정),18,정보보안 담당자,FW,55
a00000081,45,대졸(예정),7,웹퍼블리셔,ApexCharts,52
a00000081,45,대졸(예정),7,웹퍼블리셔,React Native,55
a00000081,45,대졸(예정),7,웹퍼블리셔,GUI,45
a00000082,35,초대졸(예정),5,HW/임베디드,MES,27
a00000082,35,초대졸(예정),5,HW/임베디드,Docker,35
a00000082,35,초대졸(예정),5,HW/임베디드,Zephyr,27
a00000082,35,초대졸(예정),5,HW/임베디드,RF,28
a00000083,27,대졸(예정),0,SW/솔루션,Postman,6
a00000083,27,대졸(예정),0,SW/솔루션,AIOHTTP,10
a00000083,27,대졸(예정),0,SW/솔루션,JavaScript,0
a00000083,27,대졸(예정),0,SW/솔루션,MATLAB,1
a00000084,31,대졸(예정),11,게임 서버 개발자,AWS Mobile Hub,45
a00000084,31,대졸(예정),11,게임 서버 개발자,Cocos2D-X,51
a00000084,31,대졸(예정),11,게임 서버 개발자,OpenProject,44
a00000084,31,대졸(예정),11,게임 서버 개발자,Photon,47
a00000085,47,초대졸(예정),12,정보보안 담당자,AZURE,54
a00000085,47,초대졸(예정),12,정보보안 담당자,vmware,45
a00000085,47,초대졸(예정),12,정보보안 담당자,PowerShell,49
a00000085,47,초대졸(예정),12,정보보안 담당자,Deta Cloud,51
a00000085,47,초대졸(예정),12,정보보안 담당자,ARM,41
a00000086,29,대졸(예정),1,프론트엔드 개발자,Jasmine,25
a00000086,29,대졸(예정),1,프론트엔드 개발자,TortoiseSVN,15
a00000086,29,대졸(예정),1,프론트엔드 개발자,XML,17
a00000087,25,초대졸(예정),0,서버/백엔드 개발자,Datadog,7
a00000087,25,초대졸(예정),0,서버/백엔드 개발자,Unreal Engine,2
a00000087,25,초대졸(예정),0,서버/백엔드 개발자,Etl,3
a00000087,25,초대졸(예정),0,서버/백엔드 개발자,Ubuntu,7
a00000087,25,초대졸(예정),0,서버/백엔드 개발자,ISMS,1
a00000088,24,초대졸(예정),0,서버/백엔드 개발자,NoSql,0
a00000088,24,초대졸(예정),0,서버/백엔드 개발자,OLAP,6
a00000088,24,초대졸(예정),0,서버/백엔드 개발자,Oracle,2
a00000088,24,초대졸(예정),0,서버/백엔드 개발자,Rails,9
a00000089,29,고졸(예정),2,DevOps/시스템 엔지니어,Infra,13
a00000089,29,고졸(예정),2,DevOps/시스템 엔지니어,Amazon CloudFront,13
a00000089,29,고졸(예정),2,DevOps/시스템 엔지니어,Kubernetes,18
a00000089,29,고졸(예정),2,DevOps/시스템 엔지니어,Microsoft Azure,20
a00000089,29,고졸(예정),2,DevOps/시스템 엔지니어,Amazon EC2,12
a00000090,38,대졸(예정),10,크로스플랫폼 앱개발자,Flow,41
a00000090,38,대졸(예정),10,크로스플랫폼 앱개발자,React,50
a00000090,38,대졸(예정),10,크로스플랫폼 앱개발자,Figma,45
a00000090,38,대졸(예정),10,크로스플랫폼 앱개발자,Zustand,47
a00000090,38,대졸(예정),10,크로스플랫폼 앱개발자,Git,46
a00000091,35,대졸(예정),4,프론트엔드 개발자,Azure DevOps,30
a00000091,35,대졸(예정),4,프론트엔드 개발자,Zustand,27
a00000091,35,대졸(예정),4,프론트엔드 개발자,Jenkins,33
a00000092,26,석박사(예정),0,정보보안 담당자,Azure Security Center,1
a00000092,26,석박사(예정),0,정보보안 담당자,JavaScript,7
a00000092,26,석박사(예정),0,정보보안 담당자,SW,6
a00000092,26,석박사(예정),0,정보보안 담당자,HW,7
a00000092,26,석박사(예정),0,정보보안 담당자,Snort,6
a00000093,50,대졸(예정),10,서버/백엔드 개발자,GitLab,52
a00000093,50,대졸(예정),10,서버/백엔드 개발자,AngularJS,51
a00000093,50,대졸(예정),10,서버/백엔드 개발자,VPN,46
a00000093,50,대졸(예정),10,서버/백엔드 개발자,Bitbucket,54
a00000093,50,대졸(예정),10,서버/백엔드 개발자,Solidity,51
a00000094,31,고졸(예정),5,SW/솔루션,NoSql,37
a00000094,31,고졸(예정),5,SW/솔루션,Confluence,26
a00000094,31,고졸(예정),5,SW/솔루션,Laravel,32
a00000094,31,고졸(예정),5,SW/솔루션,DirectX,33
a00000094,31,고졸(예정),5,SW/솔루션,Perl,32
a00000095,26,대졸(예정),3,정보보안 담당자,QueryDSL,17
a00000095,26,대졸(예정),3,정보보안 담당자,Windows Terminal,24
a00000095,26,대졸(예정),3,정보보안 담당자,Network,25
a00000095,26,대졸(예정),3,정보보안 담당자,FastAPI,25
a00000096,51,대졸(예정),19,크로스플랫폼 앱개발자,Firebase,51
a00000096,51,대졸(예정),19,크로스플랫폼 앱개발자,Xcode,48
a00000096,51,대졸(예정),19,크로스플랫폼 앱개발자,Dart,52
a00000097,26,대졸(예정),0,인공지능/머신러닝,SQL,7
a00000097,26,대졸(예정),0,인공지능/머신러닝,Electron,10
a00000097,26,대졸(예정),0,인공지능/머신러닝,Jotai,1
a00000097,26,대졸(예정),0,인공지능/머신러닝,Google Analytics,8
a00000098,51,대졸(예정),15,서버/백엔드 개발자,Azure Bot Service,53
a00000098,51,대졸(예정),15,서버/백엔드 개발자,OpenStack,42
a00000098,51,대졸(예정),15,서버/백엔드 개발자,PostgreSQL,55
a00000098,51,대졸(예정),15,서버/백엔드 개발자,Kubernetes,52
a00000099,29,대졸(예정),1,정보보안 담당자,L2,16
a00000099,29,대졸(예정),1,정보보안 담당자,Rust,16
a00000099,29,대졸(예정),1,정보보안 담당자,MariaDB,18
a00000099,29,대졸(예정),1,정보보안 담당자,Python,24
a00000100,24,대졸(예정),0,SW/솔루션,Jira,1
a00000100,24,대졸(예정),0,SW/솔루션,AngularJS,6
a00000100,24,대졸(예정),0,SW/솔루션,Vb.net,10
a00000101,25,초대졸(예정),0,서버/백엔드 개발자,Datadog,7
a00000101,25,초대졸(예정),0,서버/백엔드 개발자,Solidity,10
a00000101,25,초대졸(예정),0,서버/백엔드 개발자,Framer,6
